date,region,product,sales,quantity,customer_age,rating,is_promotion,revenue,profit,month,quarter,weekday,age_group,sales_category
2024-01-16,Север,Телефон,1016.46,4,59.0,3.2,False,4065.84,1219.752,1,1,Tuesday,50+,Medium
2024-01-17,Восток,Телефон,1016.46,6,51.0,1.0,False,6098.76,1829.628,1,1,Wednesday,50+,Medium
2024-01-18,Восток,Планшет,1016.46,7,24.0,1.3,False,7115.22,2134.566,1,1,Thursday,18-25,Medium
2024-01-19,Восток,Монитор,1016.46,9,62.0,1.5,False,9148.14,2744.4419999999996,1,1,Friday,50+,Medium
2024-01-20,Запад,Ноутбук,1016.46,4,52.0,1.7,False,4065.84,1219.752,1,1,Saturday,50+,Medium
2024-01-21,Юг,Планшет,1016.46,1,32.0,3.0,True,1016.46,304.938,1,1,Sunday,26-35,Medium
2024-01-22,Север,Ноутбук,896.79,4,18.0,5.0,False,3587.16,1076.148,1,1,Monday,18-25,Medium
2024-01-23,Юг,Телефон,1019.22,6,43.0,3.6,True,6115.32,1834.5959999999998,1,1,Tuesday,36-50,Medium
2024-01-24,Восток,Телефон,907.54,3,52.0,1.2,True,2722.62,816.786,1,1,Wednesday,50+,Medium
2024-01-25,Восток,Монитор,913.1,4,42.0,3.1,False,3652.4,1095.72,1,1,Thursday,36-50,Medium
2024-01-26,Юг,Телефон,938.17,2,59.0,3.0,False,1876.34,562.9019999999999,1,1,Friday,50+,Medium
2024-01-27,Юг,Телефон,1044.43,6,32.0,1.6,False,6266.58,1879.974,1,1,Saturday,26-35,Medium
2024-01-28,Юг,Планшет,904.25,8,39.0,4.7,False,7234.0,2170.2,1,1,Sunday,36-50,Medium
2024-01-29,Восток,Ноутбук,1251.15,7,23.0,2.8,False,8758.050000000001,2627.4150000000004,1,1,Monday,18-25,High
2024-01-30,Восток,Ноутбук,821.08,2,69.0,5.0,False,1642.16,492.648,1,1,Tuesday,50+,Medium
2024-01-31,Север,Планшет,962.63,6,32.0,2.7,False,5775.78,1732.734,1,1,Wednesday,26-35,Medium
2024-02-01,Север,Монитор,912.05,9,41.0,3.4,False,8208.449999999999,2462.5349999999994,2,1,Thursday,36-50,Medium
2024-02-02,Восток,Ноутбук,1289.4,3,38.0,1.4,True,3868.2000000000003,1160.46,2,1,Friday,36-50,High
2024-02-03,Юг,Телефон,1039.31,8,24.0,2.8,False,8314.48,2494.3439999999996,2,1,Saturday,18-25,Medium
2024-02-04,Юг,Ноутбук,1206.37,7,46.0,2.0,False,8444.59,2533.377,2,1,Sunday,36-50,High
2024-02-05,Север,Телефон,702.89,6,49.0,4.3,False,4217.34,1265.202,2,1,Monday,36-50,Low
2024-02-06,Восток,Монитор,1053.41,10,49.0,4.1,False,10534.1,3160.23,2,1,Tuesday,36-50,Medium
2024-02-07,Север,Планшет,1177.93,5,22.0,4.3,False,5889.650000000001,1766.8950000000002,2,1,Wednesday,18-25,Medium
2024-02-08,Север,Ноутбук,1016.46,5,21.0,3.9,False,5082.3,1524.69,2,1,Thursday,18-25,Medium
2024-02-09,Запад,Планшет,1213.1,5,39.0,4.3,False,6065.5,1819.6499999999999,2,1,Friday,36-50,High
2024-02-10,Запад,Ноутбук,896.54,5,35.0,1.8,False,4482.7,1344.81,2,1,Saturday,26-35,Medium
2024-02-11,Запад,Телефон,1281.87,4,52.0,2.8,True,5127.48,1538.244,2,1,Sunday,50+,High
2024-02-12,Юг,Планшет,1459.78,10,34.0,3.8,True,14597.8,4379.339999999999,2,1,Monday,26-35,High
2024-02-13,Восток,Ноутбук,927.43,3,67.0,3.5,False,2782.29,834.687,2,1,Tuesday,50+,Medium
2024-02-14,Восток,Телефон,910.9,2,67.0,3.9,True,1821.8,546.54,2,1,Wednesday,50+,Medium
2024-02-15,Восток,Планшет,1290.68,6,41.0,1.9,False,7744.08,2323.2239999999997,2,1,Thursday,36-50,High
2024-02-16,Восток,Планшет,1315.91,4,19.0,1.4,False,5263.64,1579.092,2,1,Friday,18-25,High
2024-02-17,Запад,Ноутбук,895.43,4,30.0,4.7,True,3581.72,1074.5159999999998,2,1,Saturday,26-35,Medium
2024-02-18,Юг,Ноутбук,915.96,8,32.0,3.2,True,7327.68,2198.304,2,1,Sunday,26-35,Medium
2024-02-19,Юг,Ноутбук,943.64,5,22.0,1.6,False,4718.2,1415.4599999999998,2,1,Monday,18-25,Medium
2024-02-20,Запад,Телефон,731.11,4,20.0,2.9681086519114688,False,2924.44,877.332,2,1,Tuesday,18-25,Low
2024-02-21,Юг,Ноутбук,816.27,7,54.0,2.9681086519114688,False,5713.889999999999,1714.1669999999997,2,1,Wednesday,50+,Medium
2024-02-22,Запад,Планшет,799.17,4,54.0,2.9681086519114688,False,3196.68,959.0039999999999,2,1,Thursday,50+,Low
2024-02-23,Восток,Планшет,846.44,2,54.0,2.9681086519114688,False,1692.88,507.86400000000003,2,1,Friday,50+,Medium
2024-02-24,Запад,Ноутбук,993.06,2,20.0,2.9681086519114688,False,1986.12,595.8359999999999,2,1,Saturday,18-25,Medium
2024-02-25,Восток,Ноутбук,1046.84,3,52.0,2.9681086519114688,False,3140.5199999999995,942.1559999999998,2,1,Sunday,50+,Medium
2024-02-26,Восток,Монитор,1310.1,3,69.0,4.7,False,3930.2999999999997,1179.09,2,1,Monday,50+,High
2024-02-27,Север,Планшет,800.33,8,40.0,3.2,True,6402.64,1920.792,2,1,Tuesday,36-50,Medium
2024-02-28,Запад,Телефон,1196.86,6,45.0,2.4,False,7181.16,2154.348,2,1,Wednesday,36-50,Medium
2024-02-29,Север,Монитор,957.2,0,47.0,1.0,False,0.0,0.0,2,1,Thursday,36-50,Medium
2024-03-01,Запад,Ноутбук,990.11,8,35.0,1.2,True,7920.88,2376.264,3,1,Friday,26-35,Medium
2024-03-02,Запад,Ноутбук,1134.96,5,69.0,2.7,True,5674.8,1702.44,3,1,Saturday,50+,Medium
2024-03-03,Север,Планшет,775.46,4,53.0,2.6,False,3101.84,930.552,3,1,Sunday,50+,Low
2024-03-04,Север,Ноутбук,1076.48,5,50.0,1.7,True,5382.4,1614.7199999999998,3,1,Monday,36-50,Medium
2024-03-05,Запад,Телефон,1033.29,7,43.0,2.6,True,7233.03,2169.9089999999997,3,1,Tuesday,36-50,Medium
2024-03-06,Юг,Планшет,1098.49,6,65.0,1.7,False,6590.9400000000005,1977.2820000000002,3,1,Wednesday,50+,Medium
2024-03-07,Восток,Ноутбук,1057.83,3,57.0,4.4,False,3173.49,952.0469999999999,3,1,Thursday,50+,Medium
2024-03-08,Север,Планшет,1491.06,4,34.0,2.2,False,5964.24,1789.272,3,1,Friday,26-35,High
2024-03-09,Восток,Ноутбук,872.45,2,57.0,3.4,False,1744.9,523.47,3,1,Saturday,50+,Medium
2024-03-10,Юг,Ноутбук,893.8,4,24.0,3.0,False,3575.2,1072.56,3,1,Sunday,18-25,Medium
2024-03-11,Юг,Ноутбук,875.37,1,25.0,1.2,False,875.37,262.611,3,1,Monday,18-25,Medium
2024-03-12,Юг,Телефон,888.9,9,48.0,4.8,True,8000.099999999999,2400.0299999999997,3,1,Tuesday,36-50,Medium
2024-03-13,Север,Телефон,872.52,3,29.0,3.1,False,2617.56,785.2679999999999,3,1,Wednesday,26-35,Medium
2024-03-14,Юг,Планшет,1237.8,1,65.0,2.3,False,1237.8,371.34,3,1,Thursday,50+,High
2024-03-15,Север,Ноутбук,1284.1,5,48.0,1.6,False,6420.5,1926.1499999999999,3,1,Friday,36-50,High
2024-03-16,Юг,Ноутбук,885.85,4,61.0,2.4,False,3543.4,1063.02,3,1,Saturday,50+,Medium
2024-03-17,Восток,Телефон,833.53,6,36.0,1.1,False,5001.18,1500.354,3,1,Sunday,36-50,Medium
2024-03-18,Восток,Ноутбук,1094.28,5,27.0,2.5,False,5471.4,1641.4199999999998,3,1,Monday,26-35,Medium
2024-03-19,Запад,Телефон,889.56,8,56.0,3.1,False,7116.48,2134.944,3,1,Tuesday,50+,Medium
2024-03-20,Восток,Ноутбук,1126.59,5,29.0,4.5,False,5632.95,1689.885,3,1,Wednesday,26-35,Medium
2024-03-21,Запад,Планшет,1040.58,7,37.0,3.7,False,7284.0599999999995,2185.218,3,1,Thursday,36-50,Medium
2024-03-22,Восток,Ноутбук,696.85,4,54.0,1.4,False,2787.4,836.22,3,1,Friday,50+,Low
2024-03-23,Север,Ноутбук,1309.5,1,65.0,1.6,False,1309.5,392.84999999999997,3,1,Saturday,50+,High
2024-03-24,Восток,Монитор,1359.18,5,58.0,2.7,False,6795.900000000001,2038.77,3,1,Sunday,50+,High
2024-03-25,Запад,Телефон,877.44,4,24.0,1.8,True,3509.76,1052.928,3,1,Monday,18-25,Medium
2024-03-26,Запад,Ноутбук,922.46,3,69.0,1.1,True,2767.38,830.214,3,1,Tuesday,50+,Medium
2024-03-27,Юг,Ноутбук,1057.17,2,31.0,4.2,False,2114.34,634.302,3,1,Wednesday,26-35,Medium
2024-03-28,Север,Монитор,1066.89,12,28.0,1.1,False,12802.68,3840.804,3,1,Thursday,26-35,Medium
2024-03-29,Восток,Монитор,1131.71,5,24.0,4.3,True,5658.55,1697.565,3,1,Friday,18-25,Medium
2024-03-30,Юг,Телефон,1402.04,10,46.0,1.6,True,14020.4,4206.12,3,1,Saturday,36-50,High
2024-03-31,Восток,Монитор,964.61,6,27.0,4.9,False,5787.66,1736.298,3,1,Sunday,26-35,Medium
2024-04-01,Восток,Планшет,840.34,1,46.0,3.4,False,840.34,252.102,4,2,Monday,36-50,Medium
2024-04-02,Юг,Монитор,724.14,6,26.0,3.9,False,4344.84,1303.452,4,2,Tuesday,26-35,Low
2024-04-03,Юг,Планшет,853.81,2,53.0,1.4,False,1707.62,512.286,4,2,Wednesday,50+,Medium
2024-04-04,Юг,Телефон,993.37,4,65.0,4.4,False,3973.48,1192.0439999999999,4,2,Thursday,50+,Medium
2024-04-05,Юг,Телефон,1358.91,5,27.0,4.4,True,6794.55,2038.365,4,2,Friday,26-35,High
2024-04-06,Юг,Телефон,896.48,8,36.0,3.6,False,7171.84,2151.552,4,2,Saturday,36-50,Medium
2024-04-07,Восток,Телефон,1044.76,4,48.0,3.0,False,4179.04,1253.712,4,2,Sunday,36-50,Medium
2024-04-08,Юг,Телефон,996.72,2,34.0,3.9,True,1993.44,598.032,4,2,Monday,26-35,Medium
2024-04-09,Север,Планшет,1237.68,1,26.0,1.0,False,1237.68,371.30400000000003,4,2,Tuesday,26-35,High
2024-04-10,Запад,Планшет,1505.39,8,43.0,3.4,False,12043.12,3612.936,4,2,Wednesday,36-50,High
2024-04-11,Юг,Телефон,893.83,8,43.0,4.4,False,7150.64,2145.192,4,2,Thursday,36-50,Medium
2024-04-12,Юг,Монитор,902.11,4,43.0,2.4,False,3608.44,1082.532,4,2,Friday,36-50,Medium
2024-04-13,Восток,Ноутбук,1208.83,1,43.0,1.4,False,1208.83,362.64899999999994,4,2,Saturday,36-50,High
2024-04-14,Юг,Телефон,1136.38,9,43.0,2.7,False,10227.420000000002,3068.2260000000006,4,2,Sunday,36-50,Medium
2024-04-15,Юг,Монитор,1369.34,4,43.0,3.9,False,5477.36,1643.2079999999999,4,2,Monday,36-50,High
2024-04-16,Юг,Ноутбук,1116.79,2,24.0,1.4,False,2233.58,670.074,4,2,Tuesday,18-25,Medium
2024-04-17,Восток,Телефон,928.14,4,33.0,1.8,False,3712.56,1113.768,4,2,Wednesday,26-35,Medium
2024-04-18,Юг,Телефон,1118.13,3,36.0,1.6,False,3354.3900000000003,1006.317,4,2,Thursday,36-50,Medium
2024-04-19,Запад,Планшет,1221.74,8,56.0,4.2,False,9773.92,2932.176,4,2,Friday,50+,High
2024-04-20,Восток,Ноутбук,1164.1,9,23.0,1.3,False,10476.9,3143.0699999999997,4,2,Saturday,18-25,Medium
2024-04-21,Запад,Ноутбук,1101.45,4,67.0,3.7,True,4405.8,1321.74,4,2,Sunday,50+,Medium
2024-04-22,Восток,Монитор,1213.33,4,68.0,2.5,False,4853.32,1455.9959999999999,4,2,Monday,50+,High
2024-04-23,Юг,Планшет,1233.86,5,28.0,4.0,False,6169.299999999999,1850.7899999999997,4,2,Tuesday,26-35,High
2024-04-24,Запад,Планшет,1276.43,11,29.0,4.9,True,14040.730000000001,4212.219,4,2,Wednesday,26-35,High
2024-04-25,Восток,Планшет,1129.74,8,59.0,1.5,True,9037.92,2711.3759999999997,4,2,Thursday,50+,Medium
2024-04-26,Север,Планшет,966.58,6,30.0,2.3,False,5799.4800000000005,1739.844,4,2,Friday,26-35,Medium
2024-04-27,Юг,Ноутбук,1029.34,2,29.0,4.2,True,2058.68,617.6039999999999,4,2,Saturday,26-35,Medium
2024-04-28,Восток,Ноутбук,1241.3,8,38.0,2.1,True,9930.4,2979.12,4,2,Sunday,36-50,High
2024-04-29,Север,Телефон,836.61,7,27.0,1.9,False,5856.27,1756.881,4,2,Monday,26-35,Medium
2024-04-30,Восток,Телефон,1073.73,6,37.0,4.3,True,6442.38,1932.714,4,2,Tuesday,36-50,Medium
2024-05-01,Север,Планшет,921.33,5,67.0,4.9,False,4606.650000000001,1381.9950000000001,5,2,Wednesday,50+,Medium
2024-05-02,Юг,Планшет,1005.75,3,53.0,3.2,False,3017.25,905.175,5,2,Thursday,50+,Medium
2024-05-03,Запад,Планшет,1255.69,5,45.0,2.1,False,6278.450000000001,1883.535,5,2,Friday,36-50,High
2024-05-04,Север,Телефон,1038.22,3,41.0,2.6,False,3114.66,934.3979999999999,5,2,Saturday,36-50,Medium
2024-05-05,Восток,Монитор,1009.29,3,22.0,1.7,False,3027.87,908.361,5,2,Sunday,18-25,Medium
2024-05-06,Юг,Монитор,728.03,7,54.0,4.0,False,5096.21,1528.863,5,2,Monday,50+,Low
2024-05-07,Север,Телефон,1149.25,4,29.0,4.1,False,4597.0,1379.1,5,2,Tuesday,26-35,Medium
2024-05-08,Восток,Телефон,1129.1,4,52.0,4.5,False,4516.4,1354.9199999999998,5,2,Wednesday,50+,Medium
2024-05-09,Восток,Телефон,1432.65,6,57.0,1.1,False,8595.900000000001,2578.7700000000004,5,2,Thursday,50+,High
2024-05-10,Восток,Телефон,938.44,6,19.0,3.2,False,5630.64,1689.192,5,2,Friday,18-25,Medium
2024-05-11,Север,Телефон,1043.83,3,67.0,1.9,False,3131.49,939.4469999999999,5,2,Saturday,50+,Medium
2024-05-12,Север,Телефон,1049.88,4,58.0,2.4,False,4199.52,1259.856,5,2,Sunday,50+,Medium
2024-05-13,Север,Планшет,1315.49,6,62.0,4.1,False,7892.9400000000005,2367.882,5,2,Monday,50+,High
2024-05-14,Запад,Планшет,980.94,6,56.0,1.8,False,5885.64,1765.692,5,2,Tuesday,50+,Medium
2024-05-15,Север,Планшет,1055.8,6,59.0,3.6,False,6334.799999999999,1900.4399999999996,5,2,Wednesday,50+,Medium
2024-05-16,Север,Планшет,1121.58,6,26.0,3.6,False,6729.48,2018.8439999999998,5,2,Thursday,26-35,Medium
2024-05-17,Север,Телефон,1037.32,3,39.0,4.8,True,3111.96,933.588,5,2,Friday,36-50,Medium
2024-05-18,Запад,Монитор,910.71,5,64.0,4.1,False,4553.55,1366.065,5,2,Saturday,50+,Medium
2024-05-19,Север,Ноутбук,1038.82,2,22.0,4.2,False,2077.64,623.2919999999999,5,2,Sunday,18-25,Medium
2024-05-20,Восток,Телефон,1214.73,5,29.0,3.1,False,6073.65,1822.0949999999998,5,2,Monday,26-35,High
2024-05-21,Север,Ноутбук,794.7,3,18.0,1.7,True,2384.1000000000004,715.2300000000001,5,2,Tuesday,18-25,Low
2024-05-22,Восток,Монитор,1026.59,3,61.0,2.7,False,3079.7699999999995,923.9309999999998,5,2,Wednesday,50+,Medium
2024-05-23,Восток,Планшет,859.98,5,39.0,3.2,False,4299.9,1289.9699999999998,5,2,Thursday,36-50,Medium
2024-05-24,Восток,Монитор,1239.01,11,55.0,3.7,False,13629.11,4088.733,5,2,Friday,50+,High
2024-05-25,Запад,Телефон,695.36,7,68.0,3.4,False,4867.52,1460.256,5,2,Saturday,50+,Low
2024-05-26,Запад,Планшет,888.22,7,36.0,2.6,False,6217.54,1865.262,5,2,Sunday,36-50,Medium
2024-05-27,Запад,Телефон,1075.44,4,33.0,2.1,False,4301.76,1290.528,5,2,Monday,26-35,Medium
2024-05-28,Север,Планшет,1313.1,1,48.0,1.7,False,1313.1,393.92999999999995,5,2,Tuesday,36-50,High
2024-05-29,Восток,Ноутбук,986.85,4,68.0,3.8,False,3947.4,1184.22,5,2,Wednesday,50+,Medium
2024-05-30,Запад,Ноутбук,888.96,5,20.0,3.6,False,4444.8,1333.44,5,2,Thursday,18-25,Medium
2024-05-31,Запад,Ноутбук,1376.23,4,40.0,3.7,False,5504.92,1651.4759999999999,5,2,Friday,36-50,High
2024-06-01,Север,Монитор,710.4,4,59.0,2.5,False,2841.6,852.4799999999999,6,2,Saturday,50+,Low
2024-06-02,Запад,Телефон,560.24,7,35.0,2.0,True,3921.6800000000003,1176.5040000000001,6,2,Sunday,26-35,Low
2024-06-03,Север,Монитор,1088.0,6,43.0,4.0,False,6528.0,1958.3999999999999,6,2,Monday,36-50,Medium
2024-06-04,Юг,Ноутбук,899.59,8,30.0,4.1,False,7196.72,2159.016,6,2,Tuesday,26-35,Medium
2024-06-05,Запад,Телефон,795.75,4,35.0,2.8,False,3183.0,954.9,6,2,Wednesday,26-35,Low
2024-06-06,Юг,Ноутбук,1141.67,3,20.0,3.4,False,3425.01,1027.503,6,2,Thursday,18-25,Medium
2024-06-07,Север,Монитор,1048.76,0,40.0,2.5,False,0.0,0.0,6,2,Friday,36-50,Medium
2024-06-08,Восток,Монитор,887.18,4,20.0,3.8,True,3548.72,1064.616,6,2,Saturday,18-25,Medium
2024-06-09,Запад,Монитор,743.94,1,42.0,4.3,False,743.94,223.18200000000002,6,2,Sunday,36-50,Low
2024-06-10,Север,Ноутбук,1174.49,4,44.0,3.8,False,4697.96,1409.388,6,2,Monday,36-50,Medium
2024-06-11,Восток,Телефон,1130.04,3,61.0,3.1,False,3390.12,1017.036,6,2,Tuesday,50+,Medium
2024-06-12,Восток,Телефон,980.16,5,44.0,2.8,True,4900.8,1470.24,6,2,Wednesday,36-50,Medium
2024-06-13,Юг,Ноутбук,1369.33,6,69.0,3.6,False,8215.98,2464.794,6,2,Thursday,50+,High
2024-06-14,Север,Телефон,785.98,6,56.0,3.7,False,4715.88,1414.764,6,2,Friday,50+,Low
2024-06-15,Восток,Ноутбук,694.89,4,42.0,3.2,False,2779.56,833.8679999999999,6,2,Saturday,36-50,Low
2024-06-16,Запад,Телефон,861.62,4,41.0,3.5,False,3446.48,1033.944,6,2,Sunday,36-50,Medium
2024-06-17,Запад,Планшет,990.88,5,25.0,1.4,False,4954.4,1486.32,6,2,Monday,18-25,Medium
2024-06-18,Юг,Планшет,1048.67,1,26.0,4.8,True,1048.67,314.601,6,2,Tuesday,26-35,Medium
2024-06-19,Восток,Монитор,951.75,9,63.0,4.2,False,8565.75,2569.725,6,2,Wednesday,50+,Medium
2024-06-20,Север,Планшет,1070.41,7,54.0,2.5,False,7492.870000000001,2247.8610000000003,6,2,Thursday,50+,Medium
2024-06-21,Запад,Планшет,749.69,5,47.0,3.3,True,3748.4500000000003,1124.535,6,2,Friday,36-50,Low
2024-06-22,Восток,Планшет,1288.75,4,36.0,1.2,False,5155.0,1546.5,6,2,Saturday,36-50,High
2024-06-23,Восток,Ноутбук,983.57,5,33.0,1.2,False,4917.85,1475.355,6,2,Sunday,26-35,Medium
2024-06-24,Юг,Планшет,1223.46,4,41.0,2.0,True,4893.84,1468.152,6,2,Monday,36-50,High
2024-06-25,Запад,Планшет,1068.55,1,61.0,3.8,False,1068.55,320.565,6,2,Tuesday,50+,Medium
2024-06-26,Запад,Монитор,1091.35,3,38.0,4.4,False,3274.0499999999997,982.2149999999999,6,2,Wednesday,36-50,Medium
2024-06-27,Север,Планшет,1113.95,7,53.0,3.2,False,7797.650000000001,2339.295,6,2,Thursday,50+,Medium
2024-06-28,Запад,Планшет,1089.54,6,57.0,3.1,False,6537.24,1961.1719999999998,6,2,Friday,50+,Medium
2024-06-29,Север,Телефон,1128.54,10,56.0,2.6,False,11285.4,3385.62,6,2,Saturday,50+,Medium
2024-06-30,Запад,Монитор,1265.83,4,64.0,1.6,False,5063.32,1518.9959999999999,6,2,Sunday,50+,High
2024-07-01,Юг,Монитор,1039.3,5,23.0,1.5,True,5196.5,1558.95,7,3,Monday,18-25,Medium
2024-07-02,Запад,Монитор,1141.8,6,22.0,4.0,False,6850.799999999999,2055.24,7,3,Tuesday,18-25,Medium
2024-07-03,Север,Монитор,982.05,6,31.0,4.7,False,5892.299999999999,1767.6899999999998,7,3,Wednesday,26-35,Medium
2024-07-04,Север,Монитор,1288.02,8,62.0,2.8,False,10304.16,3091.248,7,3,Thursday,50+,High
2024-07-05,Юг,Монитор,864.72,4,59.0,3.6,False,3458.88,1037.664,7,3,Friday,50+,Medium
2024-07-06,Запад,Ноутбук,1360.19,3,67.0,4.7,True,4080.57,1224.171,7,3,Saturday,50+,High
2024-07-07,Запад,Планшет,991.97,3,21.0,1.4,False,2975.91,892.7729999999999,7,3,Sunday,18-25,Medium
2024-07-08,Юг,Монитор,713.84,9,25.0,4.1,False,6424.56,1927.368,7,3,Monday,18-25,Low
2024-07-09,Запад,Планшет,1025.62,7,41.0,3.5,False,7179.339999999999,2153.8019999999997,7,3,Tuesday,36-50,Medium
2024-07-10,Запад,Планшет,863.79,2,28.0,3.4,False,1727.58,518.274,7,3,Wednesday,26-35,Medium
2024-07-11,Север,Ноутбук,1168.13,2,34.0,2.2,False,2336.26,700.878,7,3,Thursday,26-35,Medium
2024-07-12,Запад,Монитор,869.48,4,67.0,3.7,False,3477.92,1043.376,7,3,Friday,50+,Medium
2024-07-13,Запад,Телефон,910.76,6,38.0,4.2,False,5464.5599999999995,1639.3679999999997,7,3,Saturday,36-50,Medium
2024-07-14,Юг,Ноутбук,622.09,9,43.0,1.5,False,5598.81,1679.643,7,3,Sunday,36-50,Low
2024-07-15,Юг,Телефон,909.54,11,60.0,3.1,False,10004.939999999999,3001.4819999999995,7,3,Monday,50+,Medium
2024-07-16,Восток,Планшет,515.22,4,65.0,1.4,True,2060.88,618.264,7,3,Tuesday,50+,Low
2024-07-17,Север,Планшет,683.22,7,61.0,4.5,True,4782.54,1434.762,7,3,Wednesday,50+,Low
2024-07-18,Запад,Ноутбук,1152.08,7,62.0,3.0,False,8064.5599999999995,2419.368,7,3,Thursday,50+,Medium
2024-07-19,Запад,Ноутбук,1157.16,3,44.0,4.2,True,3471.4800000000005,1041.4440000000002,7,3,Friday,36-50,Medium
2024-07-20,Восток,Телефон,1085.09,7,33.0,2.5,False,7595.629999999999,2278.689,7,3,Saturday,26-35,Medium
2024-07-21,Запад,Монитор,806.6,5,43.0,1.5,True,4033.0,1209.8999999999999,7,3,Sunday,36-50,Medium
2024-07-22,Север,Телефон,990.46,2,50.0,1.2,True,1980.92,594.276,7,3,Monday,36-50,Medium
2024-07-23,Восток,Ноутбук,999.28,9,48.0,2.1,False,8993.52,2698.056,7,3,Tuesday,36-50,Medium
2024-07-24,Север,Телефон,768.33,6,65.0,2.0,False,4609.9800000000005,1382.9940000000001,7,3,Wednesday,50+,Low
2024-07-25,Восток,Ноутбук,1300.68,3,64.0,3.2,False,3902.04,1170.6119999999999,7,3,Thursday,50+,High
2024-07-26,Восток,Телефон,1175.47,6,23.0,1.1,False,7052.82,2115.846,7,3,Friday,18-25,Medium
2024-07-27,Юг,Ноутбук,955.81,3,61.0,3.1,False,2867.43,860.2289999999999,7,3,Saturday,50+,Medium
2024-07-28,Север,Ноутбук,1005.38,2,25.0,2.6,True,2010.76,603.228,7,3,Sunday,18-25,Medium
2024-07-29,Запад,Ноутбук,1041.68,8,24.0,3.3,False,8333.44,2500.032,7,3,Monday,18-25,Medium
2024-07-30,Запад,Монитор,591.65,4,51.0,3.8,False,2366.6,709.9799999999999,7,3,Tuesday,50+,Low
2024-07-31,Север,Телефон,950.56,5,61.0,3.5,False,4752.799999999999,1425.8399999999997,7,3,Wednesday,50+,Medium
2024-08-01,Запад,Телефон,863.6,4,31.0,4.9,False,3454.4,1036.32,8,3,Thursday,26-35,Medium
2024-08-02,Запад,Телефон,799.68,3,33.0,1.6,False,2399.04,719.712,8,3,Friday,26-35,Low
2024-08-03,Север,Ноутбук,943.78,4,60.0,2.7,True,3775.12,1132.5359999999998,8,3,Saturday,50+,Medium
2024-08-04,Восток,Телефон,1359.54,3,69.0,2.7,True,4078.62,1223.586,8,3,Sunday,50+,High
2024-08-05,Север,Телефон,1128.17,11,26.0,2.7,False,12409.87,3722.9610000000002,8,3,Monday,26-35,Medium
2024-08-06,Восток,Ноутбук,885.76,6,27.0,3.7,False,5314.5599999999995,1594.3679999999997,8,3,Tuesday,26-35,Medium
2024-08-07,Запад,Планшет,1114.52,5,34.0,3.0,True,5572.6,1671.78,8,3,Wednesday,26-35,Medium
2024-08-08,Запад,Ноутбук,1279.87,5,29.0,3.1,False,6399.349999999999,1919.8049999999998,8,3,Thursday,26-35,High
2024-08-09,Запад,Телефон,1184.93,5,23.0,2.7,True,5924.650000000001,1777.3950000000002,8,3,Friday,18-25,Medium
2024-08-10,Юг,Ноутбук,1011.93,3,36.0,5.0,False,3035.79,910.737,8,3,Saturday,36-50,Medium
2024-08-11,Восток,Планшет,870.61,6,60.0,4.7,False,5223.66,1567.098,8,3,Sunday,50+,Medium
2024-08-12,Юг,Ноутбук,1139.64,4,58.0,2.2,False,4558.56,1367.568,8,3,Monday,50+,Medium
2024-08-13,Юг,Телефон,1078.7,5,46.0,1.4,False,5393.5,1618.05,8,3,Tuesday,36-50,Medium
2024-08-14,Север,Планшет,1179.04,3,23.0,4.4,False,3537.12,1061.136,8,3,Wednesday,18-25,Medium
